geoid,doc,dentist
17031010100,1,1
17031010201,0,1
17031010202,4,1
17031010300,4,1
17031010400,0,2
17031010501,0,0
17031010502,0,0
17031010503,0,0
17031010600,0,2
17031010701,1,1
17031010702,4,2
17031020100,1,3
17031020200,0,1
17031020301,0,3
17031020302,4,3
17031020400,0,0
17031020500,3,1
17031020601,8,11
17031020602,0,0
17031020701,1,5
17031020702,7,4
17031020801,6,5
17031020802,3,4
17031020901,4,1
17031020902,0,0
17031030101,2,2
17031030102,0,0
17031030103,0,0
17031030104,0,3
17031030200,1,1
17031030300,0,1
17031030400,5,2
17031030500,0,3
17031030601,0,0
17031030603,1,0
17031030604,0,3
17031030701,1,1
17031030702,2,3
17031030703,3,2
17031030706,1,3
17031030800,4,2
17031030900,0,1
17031031000,12,3
17031031100,8,4
17031031200,7,2
17031031300,0,2
17031031400,29,1
17031031501,0,0
17031031502,8,1
17031031700,1,2
17031031800,0,0
17031031900,1,3
17031032100,23,3
17031040100,0,1
17031040201,41,7
17031040202,0,4
17031040300,29,1
17031040401,1,9
17031040402,0,2
17031040600,0,4
17031040700,1,0
17031040800,2,0
17031040900,0,1
17031050100,3,1
17031050200,13,1
17031050300,0,0
17031050500,0,2
17031050600,0,4
17031050700,0,0
17031050800,1,2
17031050900,0,0
17031051000,3,3
17031051100,0,1
17031051200,0,1
17031051300,0,1
17031051400,1,1
17031060100,0,1
17031060200,0,0
17031060300,1,0
17031060400,0,7
17031060500,8,0
17031060800,0,4
17031060900,0,2
17031061000,0,1
17031061100,0,1
17031061200,0,1
17031061500,0,2
17031061800,0,0
17031061901,0,1
17031061902,2,0
17031062000,3,0
17031062100,0,2
17031062200,18,3
17031062300,0,0
17031062400,0,5
17031062500,2,4
17031062600,2,2
17031062700,7,4
17031062800,0,5
17031062900,1,3
17031063000,82,9
17031063100,2,1
17031063200,3,3
17031063301,0,0
17031063302,15,2
17031063303,40,0
17031063400,1,0
17031070101,0,5
17031070102,12,12
17031070103,1,0
17031070200,1,2
17031070300,3,6
17031070400,5,1
17031070500,2,2
17031070600,1,1
17031070700,0,1
17031071000,0,3
