geoid,pop
17031010100,4854
17031010201,6450
17031010202,2818
17031010300,6236
17031010400,5042
17031010501,4091
17031010502,3101
17031010503,2290
17031010600,6097
17031010701,3864
17031010702,5143
17031020100,3965
17031020200,6676
17031020301,4750
17031020302,4650
17031020400,4168
17031020500,6214
17031020601,6353
17031020602,4340
17031020701,1704
17031020702,7194
17031020801,5458
17031020802,6963
17031020901,5221
17031020902,4286
17031030101,3893
17031030102,3204
17031030103,1928
17031030104,3681
17031030200,5369
17031030300,3322
17031030400,2684
17031030500,6395
17031030601,4012
17031030603,2095
17031030604,2976
17031030701,1549
17031030702,1630
17031030703,2830
17031030706,3599
17031030800,4326
17031030900,3028
17031031000,3656
17031031100,4402
17031031200,5648
17031031300,7076
17031031400,5150
17031031501,4083
17031031502,4354
17031031700,6570
17031031800,1820
17031031900,2304
17031032100,7052
17031040100,3985
17031040201,6218
17031040202,7249
17031040300,3069
17031040401,3092
17031040402,4468
17031040600,2434
17031040700,3123
17031040800,1514
17031040900,1950
17031050100,2290
17031050200,4837
17031050300,2365
17031050500,4754
17031050600,2071
17031050700,1418
17031050800,1289
17031050900,1391
17031051000,1503
17031051100,1556
17031051200,1516
17031051300,2683
17031051400,2077
17031060100,2569
17031060200,2111
17031060300,2839
17031060400,3370
17031060500,1309
17031060800,4837
17031060900,6867
17031061000,1647
17031061100,1379
17031061200,1889
17031061500,1707
17031061800,1112
17031061901,3433
17031061902,4240
17031062000,2569
17031062100,3436
17031062200,2870
17031062300,1513
17031062400,1421
17031062500,1497
17031062600,2226
17031062700,2724
17031062800,3506
17031062900,3976
17031063000,2973
17031063100,2173
17031063200,6345
17031063301,2641
17031063302,3996
17031063303,1201
17031063400,2180
17031070101,3796
17031070102,2413
17031070103,1709
17031070200,3900
17031070300,3367
17031070400,2984
17031070500,2928
17031070600,2981
17031070700,3481
17031071000,4442
17031071100,2944
17031071200,1906
17031071300,3513
17031071400,4570
17031071500,5768
17031071600,1783
17031071700,1652
17031071800,2646
17031080100,6013
17031080201,3287
17031080202,3498
17031080300,4315
17031080400,4317
17031081000,7546
17031081100,3640
17031081201,4059
17031081202,2995
17031081300,4884
17031081401,2279
17031081402,4243
17031081403,6229
17031081500,4379
17031081600,3545
17031081700,3102
17031081800,6866
17031081900,1053
17031090100,3405
17031090200,6564
17031090300,1372
17031100100,5313
17031100200,6749
17031100300,6177
17031100400,3066
17031100500,5779
17031100600,4832
17031100700,4826
17031110100,5254
17031110200,2828
17031110300,5161
17031110400,4352
17031110501,4639
17031110502,3214
17031120100,4198
17031120200,4430
17031120300,6365
17031120400,3515
17031130100,5133
17031130200,1412
17031130300,5064
17031140100,3729
17031140200,5965
17031140301,2891
17031140302,4345
17031140400,6805
17031140500,3679
17031140601,2786
17031140602,5397
17031140701,2933
17031140702,6187
17031140800,6825
17031150200,7540
17031150300,7198
17031150401,4793
17031150402,3886
17031150501,3648
17031150502,4205
17031150600,4163
17031150700,4608
17031150800,5280
17031151001,2819
17031151002,4567
17031151100,5458
17031151200,3884
17031160100,2485
17031160200,3443
17031160300,3785
17031160400,4768
17031160501,4188
17031160502,3550
17031160601,3490
17031160602,3589
17031160700,5893
17031160800,5148
17031160900,2405
17031161000,1707
17031161100,1861
17031161200,2930
17031161300,4117
17031170100,1752
17031170200,3892
17031170300,5129
17031170400,3870
17031170500,4980
17031170600,2498
17031170700,2980
17031170800,3721
17031170900,1713
17031171000,7287
17031171100,4110
17031180100,6156
17031190100,2488
17031190200,5853
17031190300,5794
17031190401,4257
17031190402,5458
17031190601,4545
17031190602,5516
17031190701,2955
17031190702,4869
17031190800,6632
17031190900,2040
17031191000,2559
17031191100,7414
17031191200,3853
17031191301,5397
17031191302,5034
17031200100,4354
17031200200,5427
17031200300,2209
17031200401,3603
17031200402,4396
17031210100,4028
17031210400,3035
17031210501,3900
17031210502,4486
17031210601,3104
17031210602,4683
17031210700,4309
17031210800,1196
17031210900,3068
17031220300,2102
17031220400,2495
17031220500,2626
17031220601,1766
17031220602,5064
17031220701,3437
