geoid,doc,dentist,pop
17001000100,0,2,4627
17001000201,0,0,1986
17001000202,0,0,2999
17001000400,3,0,4322
17001000500,10,0,2337
17001000600,3,8,3718
17001000700,42,4,1481
17001000800,0,1,2711
17001000900,0,0,2573
17001001001,0,0,3391
17001001002,0,0,3223
17001001100,0,15,7257
17001010100,0,1,4451
17001010200,0,0,3720
17001010300,0,0,5890
17001010400,0,0,3553
17001010500,0,1,2989
17001010600,3,0,5875
17003957600,0,1,2928
17003957700,0,0,2172
17003957800,2,1,1528
17003957900,0,0,1610
17005951200,1,0,3216
17005951300,9,4,6958
17005951400,1,0,3146
17005951500,0,0,4448
17007010100,7,5,8562
17007010200,16,4,6105
17007010300,0,2,6631
17007010400,1,0,6841
17007010500,3,1,10185
17007010601,0,0,3859
17007010602,1,2,11982
17009970400,0,0,2606
17009970500,3,0,4331
17011964700,0,0,3072
17011964800,0,1,3496
17011964900,1,1,2815
17011965000,0,0,4078
17011965100,7,0,4152
17011965200,0,2,3600
17011965300,0,2,3429
17011965400,6,2,3549
17011965500,0,1,3759
17011965600,1,0,3028
17013951200,0,1,2681
17013951300,1,0,2408
17015960100,1,2,3578
17015960200,0,0,2165
17015960300,1,1,3176
17015960400,1,1,2234
17015960500,0,0,2636
17015960600,0,0,1598
17017960100,0,0,2403
17017960200,1,2,2655
17017960300,0,0,3294
17017960400,0,1,2548
17017960500,1,1,2742
17019000200,1,0,1693
17019000301,1,0,4819
17019000302,0,0,3372
17019000401,0,1,4843
17019000402,0,0,3931
17019000500,0,6,3919
17019000700,5,5,3650
17019000800,0,8,4844
17019000901,0,0,4867
17019000902,0,0,5786
17019001000,1,0,4510
17019001100,0,0,3599
17019001201,0,2,6590
17019001203,0,6,4592
17019001204,18,1,3622
17019001205,0,1,5037
17019001206,0,3,1831
17019001301,3,9,6081
17019001302,0,13,4199
17019001400,0,0,6877
17019005300,52,0,4383
17019005401,1,0,4170
17019005402,2,0,2927
17019005500,0,1,5635
17019005600,0,0,6853
17019005701,0,2,5066
17019005702,21,0,3015
17019005800,9,1,4194
